,anio,mes,Fecha,hombres,mujeres,total,Modelo
1,1991,1,1991-01-01,30393,1633,32026,Real Histórico
2,1991,2,1991-02-01,29993,1512,31505,Real Histórico
3,1991,3,1991-03-01,28963,1556,30519,Real Histórico
4,1991,4,1991-04-01,28702,1542,30244,Real Histórico
5,1991,5,1991-05-01,28308,1459,29767,Real Histórico
6,1991,6,1991-06-01,27868,1560,29428,Real Histórico
7,1991,7,1991-07-01,27960,1379,29339,Real Histórico
8,1991,8,1991-08-01,27512,1357,28869,Real Histórico
9,1991,9,1991-09-01,27513,1509,29022,Real Histórico
10,1991,10,1991-10-01,26483,1423,27906,Real Histórico
11,1991,11,1991-11-01,25850,1332,27182,Real Histórico
12,1991,12,1991-12-01,24709,1741,26450,Real Histórico
13,1992,1,1992-01-01,24809,1584,26393,Real Histórico
14,1992,2,1992-02-01,24942,1649,26591,Real Histórico
15,1992,3,1992-03-01,25170,1721,26891,Real Histórico
16,1992,4,1992-04-01,25292,1700,26992,Real Histórico
17,1992,5,1992-05-01,25347,1647,26994,Real Histórico
18,1992,6,1992-06-01,25244,1697,26941,Real Histórico
19,1992,7,1992-07-01,25463,1654,27117,Real Histórico
20,1992,8,1992-08-01,25462,1712,27174,Real Histórico
21,1992,9,1992-09-01,25539,1659,27198,Real Histórico
22,1992,10,1992-10-01,25432,1856,27288,Real Histórico
23,1992,11,1992-11-01,25546,1747,27293,Real Histórico
24,1992,12,1992-12-01,25622,1694,27316,Real Histórico
25,1993,1,1993-01-01,25745,1585,27330,Real Histórico
26,1993,2,1993-02-01,26126,1491,27617,Real Histórico
27,1993,3,1993-03-01,26453,1451,27904,Real Histórico
28,1993,4,1993-04-01,26780,1508,28288,Real Histórico
29,1993,5,1993-05-01,26424,1361,27785,Real Histórico
30,1993,6,1993-06-01,26394,1389,27783,Real Histórico
31,1993,7,1993-07-01,27282,1346,28628,Real Histórico
32,1993,8,1993-08-01,26539,1367,27906,Real Histórico
33,1993,9,1993-09-01,27872,1467,29339,Real Histórico
34,1993,10,1993-10-01,26662,1403,28065,Real Histórico
35,1993,11,1993-11-01,27739,1621,29360,Real Histórico
36,1993,12,1993-12-01,27344,1770,29114,Real Histórico
37,1994,1,1994-01-01,27260,1989,29249,Real Histórico
38,1994,2,1994-02-01,27178,1983,29161,Real Histórico
39,1994,3,1994-03-01,27936,1626,29562,Real Histórico
40,1994,4,1994-04-01,27508,1787,29295,Real Histórico
41,1994,5,1994-05-01,27551,1821,29372,Real Histórico
42,1994,6,1994-06-01,27760,1647,29407,Real Histórico
43,1994,7,1994-07-01,27543,1805,29348,Real Histórico
44,1994,8,1994-08-01,27539,1852,29391,Real Histórico
45,1994,9,1994-09-01,27361,1902,29263,Real Histórico
46,1994,10,1994-10-01,27287,1835,29122,Real Histórico
47,1994,11,1994-11-01,27627,1921,29548,Real Histórico
48,1994,12,1994-12-01,27526,1817,29343,Real Histórico
49,1995,1,1995-01-01,28060,1477,29537,Real Histórico
50,1995,2,1995-02-01,29170,1058,30228,Real Histórico
51,1995,3,1995-03-01,29058,1023,30081,Real Histórico
52,1995,4,1995-04-01,29669,1013,30682,Real Histórico
53,1995,5,1995-05-01,30366,1004,31370,Real Histórico
54,1995,6,1995-06-01,30493,1008,31501,Real Histórico
55,1995,7,1995-07-01,30867,1020,31887,Real Histórico
56,1995,8,1995-08-01,31417,1005,32422,Real Histórico
57,1995,9,1995-09-01,33190,1026,34216,Real Histórico
58,1995,10,1995-10-01,33555,1038,34593,Real Histórico
59,1995,11,1995-11-01,32602,1147,33749,Real Histórico
60,1995,12,1995-12-01,31689,1569,33258,Real Histórico
61,1996,1,1996-01-01,32071,2253,34324,Real Histórico
62,1996,2,1996-02-01,33290,2203,35493,Real Histórico
63,1996,3,1996-03-01,34164,2330,36494,Real Histórico
64,1996,4,1996-04-01,35209,2424,37633,Real Histórico
65,1996,5,1996-05-01,35751,2433,38184,Real Histórico
66,1996,6,1996-06-01,36008,2432,38440,Real Histórico
67,1996,7,1996-07-01,36450,2525,38975,Real Histórico
68,1996,8,1996-08-01,36772,2469,39241,Real Histórico
69,1996,9,1996-09-01,36894,2525,39419,Real Histórico
70,1996,10,1996-10-01,36788,2518,39306,Real Histórico
71,1996,11,1996-11-01,37059,2515,39574,Real Histórico
72,1996,12,1996-12-01,37163,2513,39676,Real Histórico
73,1997,1,1997-01-01,37256,2486,39742,Real Histórico
74,1997,2,1997-02-01,38071,2519,40590,Real Histórico
75,1997,3,1997-03-01,38064,2553,40617,Real Histórico
76,1997,4,1997-04-01,38368,2608,40976,Real Histórico
77,1997,5,1997-05-01,38492,2614,41106,Real Histórico
78,1997,6,1997-06-01,38901,2606,41507,Real Histórico
79,1997,7,1997-07-01,38689,2585,41274,Real Histórico
80,1997,8,1997-08-01,39116,2623,41739,Real Histórico
81,1997,9,1997-09-01,39516,2603,42119,Real Histórico
82,1997,10,1997-10-01,39805,2649,42454,Real Histórico
83,1997,11,1997-11-01,40024,2677,42701,Real Histórico
84,1997,12,1997-12-01,39508,2520,42028,Real Histórico
85,1998,1,1998-01-01,39675,2583,42258,Real Histórico
86,1998,2,1998-02-01,40384,2648,43032,Real Histórico
