anio,mes,Fecha,Poblacion_real,Modelo
2017,1,2017-01-01,118925,Real Validación
2017,2,2017-02-01,119269,Real Validación
2017,3,2017-03-01,118186,Real Validación
2017,4,2017-04-01,117119,Real Validación
2017,5,2017-05-01,115878,Real Validación
2017,6,2017-06-01,115628,Real Validación
2017,7,2017-07-01,116773,Real Validación
2017,8,2017-08-01,116373,Real Validación
2017,9,2017-09-01,115708,Real Validación
2017,10,2017-10-01,115721,Real Validación
2017,11,2017-11-01,115562,Real Validación
2017,12,2017-12-01,114750,Real Validación
2018,1,2018-01-01,115396,Real Validación
2018,2,2018-02-01,115488,Real Validación
2018,3,2018-03-01,115563,Real Validación
2018,4,2018-04-01,116058,Real Validación
2018,5,2018-05-01,117026,Real Validación
