"Periodo","pry","Modelo"
2017-01-15,118733.060067448,"Estado Espacio"
2017-02-15,118927.873014495,"Estado Espacio"
2017-03-15,119116.494117139,"Estado Espacio"
2017-04-15,119298.962499354,"Estado Espacio"
2017-05-15,119475.304074506,"Estado Espacio"
2017-06-15,119645.533787875,"Estado Espacio"
2017-07-15,119809.657328792,"Estado Espacio"
2017-08-15,119967.67243833,"Estado Espacio"
2017-09-15,120119.569906877,"Estado Espacio"
2017-10-15,120265.334332486,"Estado Espacio"
2017-11-15,120404.944693378,"Estado Espacio"
2017-12-15,120538.374775022,"Estado Espacio"
2018-01-15,120665.593482428,"Estado Espacio"
2018-02-15,120786.565061027,"Estado Espacio"
2018-03-15,120901.24924401,"Estado Espacio"
2018-04-15,121009.601339876,"Estado Espacio"
2018-05-15,121111.572270781,"Estado Espacio"
2018-06-15,121207.108569925,"Estado Espacio"
2018-07-15,121296.152344371,"Estado Espacio"
2018-08-15,121378.641208267,"Estado Espacio"
2018-09-15,121454.508190408,"Estado Espacio"
2018-10-15,121523.681619164,"Estado Espacio"
2018-11-15,121622.879031236,"Estado Espacio"
2018-12-15,121721.004647955,"Estado Espacio"
2019-01-15,121814.264797231,"Estado Espacio"
2019-02-15,121902.668389379,"Estado Espacio"
2019-03-15,121986.223699704,"Estado Espacio"
2019-04-15,122064.938391671,"Estado Espacio"
2019-05-15,122138.819537621,"Estado Espacio"
2019-06-15,122207.873637811,"Estado Espacio"
2019-07-15,122272.106638444,"Estado Espacio"
2019-08-15,122331.523949264,"Estado Espacio"
2019-09-15,122386.130461195,"Estado Espacio"
2019-10-15,122435.930564473,"Estado Espacio"
2019-11-15,122480.928167621,"Estado Espacio"
2019-12-15,122521.12671761,"Estado Espacio"
