AÑO,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
MES,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población,Masculino,Femenino,Población
Enero,30.393,1.633,32.026,24.809,1.584,26.393,25.745,1.585,27.330,27.260,1.989,29.249,28.060,1.477,29.537,32.071,2.253,34.324,37.256,2.486,39.742,39.675,2.583,42.258,42.444,2.788,45.232, 42.896 , 2.636 ,45.532,48.837,3.167,52.004,46.290,3.184,49.474,50.758,3.476,54.234,58.402,4.306,62.708,63.934,4.705,68.639,62.519,4.034,66.553,57.008,3.363,60.371,60.523,3.730,64.253,66.640,4.261,70.901,71.910,4.851,76.761,80.206,5.870,86.076,94.659,7.637,102.296,106.293,8.579,114.872,111.646,8.977,120.623,108.640,8.120,116.760,112.496,8.240,120.736,111.125,7.800,118.925
Febrero,29.993,1.512,31.505,24.942,1.649,26.591,26.126,1.491,27.617,27.178,1.983,29.161,29.170,1.058,30.228,33.290,2.203,35.493,38.071,2.519,40.590,40.384,2.648,43.032,42.932,2.831,45.763, 44.103 , 2.827 ,46.930,49.332,3.183,52.515,45.951,3.219,49.170,51.892,3.812,55.704,59.136,4.387,63.523,64.380,4.601,68.981,61.800,3.940,65.740,56.981,3.371,60.352,61.156,3.816,64.972,67.552,4.357,71.909,72.770,4.924,77.694,81.635,6.072,87.707,96.781,7.910,104.691,107.057,8.724,115.781,110.997,8.818,119.815,109.879,8.180,118.059,113.083,8.273,121.356,,,
Marzo,28.963,1.556,30.519,25.170,1.721,26.891,26.453,1.451,27.904,27.936,1.626,29.562,29.058,1.023,30.081,34.164,2.330,36.494,38.064,2.553,40.617,39.703,2.613,42.316,42.789,2.808,45.597, 45.490 , 2.946 ,48.436,49.956,3.205,53.161,46.341,3.311,49.652,52.254,3.849,56.103,59.956,4.506,64.462,65.075,4.614,69.689,60.786,3.854,64.640,56.662,3.408,60.070,61.868,3.904,65.772,67.828,4.484,72.312,73.774,5.027,78.801,83.231,6.210,89.441,98.117,7.994,106.111,107.556,8.814,116.370,110.251,8.717,118.968,110.359,8.299,118.658,113.625,8.395,122.020,,,
Abril,28.702,1.542,30.244,25.292,1.700,26.992,26.780,1.508,28.288,27.508,1.787,29.295,29.669,1.013,30.682,35.209,2.424,37.633,38.368,2.608,40.976,39.168,2.607,41.775,42.559,2.802,45.361, 45.833 , 3.013 ,48.846,50.096,3.208,53.304,46.355,3.329,49.684,53.178,3.952,57.130,60.645,4.485,65.130,65.281,4.747,70.028,59.904,3.752,63.656,56.935,3.433,60.368,62.409,3.936,66.345,68.407,4.578,72.985,74.609,5.121,79.730,84.169,6.395,90.564,99.211,8.109,107.320,108.136,8.879,117.015,109.493,8.482,117.975,111.022,8.356,119.378,113.617,8.399,122.016,,,
Mayo,28.308,1.459,29.767,25.347,1.647,26.994,26.424,1.361,27.785,27.551,1.821,29.372,30.366,1.004,31.370,35.751,2.433,38.184,38.492,2.614,41.106,38.993,2.622,41.615,43.117,2.825,45.942, 46.263 , 3.170 ,49.433,50.789,3.245,54.034,47.743,3.428,51.171,54.291,4.140,58.431,61.899,4.630,66.529,65.895,4.787,70.682,60.137,3.784,63.921,56.712,3.427,60.139,62.935,3.991,66.926,69.109,4.665,73.774,75.311,5.179,80.490,85.679,6.576,92.255,100.552,8.233,108.785,108.550,8.978,117.528,108.956,8.355,117.311,111.779,8.421,120.200,113.579,8.366,121.945,,,
Junio,27.868,1.560,29.428,25.244,1.697,26.941,26.394,1.389,27.783,27.760,1.647,29.407,30.493,1.008,31.501,36.008,2.432,38.440,38.901,2.606,41.507,40.212,2.627,42.839,43.916,2.850,46.766, 46.531 , 3.136 ,49.667,51.269,3.282,54.551,47.733,3.409,51.142,54.810,4.201,59.011,62.218,4.674,66.892,65.885,4.750,70.635,59.386,3.727,63.113,56.718,3.457,60.175,63.562,4.047,67.609,69.826,4.768,74.594,75.702,5.078,80.780,86.698,6.689,93.387,101.432,8.277,109.709,108.882,8.981,117.863,108.929,8.302,117.231,112.423,8.482,120.905,112.907,8.323,121.230,,,
Julio,27.960,1.379,29.339,25.463,1.654,27.117,27.282,1.346,28.628,27.543,1.805,29.348,30.867,1.020,31.887,36.450,2.525,38.975,38.689,2.585,41.274,40.680,2.722,43.402,44.324,2.842,47.166, 47.230 , 3.180 ,50.410,50.902,3.263,54.165,47.654,3.420,51.074,55.115,3.862,58.977,62.540,4.694,67.234,65.473,4.724,70.197,58.591,3.625,62.216,57.472,3.487,60.959,64.219,4.100,68.319,70.013,4.705,74.718,76.155,5.331,81.486,88.425,6.945,95.370,102.653,8.352,111.005,109.156,9.045,118.201,108.887,8.243,117.130,112.388,8.452,120.840,112.446,8.211,120.657,,,
Agosto,27.512,1.357,28.869,25.462,1.712,27.174,26.539,1.367,27.906,27.539,1.852,29.391,31.417,1.005,32.422,36.772,2.469,39.241,39.116,2.623,41.739,41.303,2.762,44.065,44.330,2.799,47.129, 48.222 , 3.160 ,51.382,48.554,3.092,51.646,48.308,3.406,51.714,55.655,3.883,59.538,62.995,4.688,67.683,65.103,4.584,69.687,58.053,3.593,61.646,58.363,3.539,61.902,64.815,4.179,68.994,70.557,4.718,75.275,76.531,5.383,81.914,89.887,7.127,97.014,103.501,8.478,111.979,109.392,9.086,118.478,108.626,8.247,116.873,112.820,8.437,121.257,112.669,8.052,120.721,,,
Septiembre,27.513,1.509,29.022,25.539,1.659,27.198,27.872,1.467,29.339,27.361,1.902,29.263,33.190,1.026,34.216,36.894,2.525,39.419,39.516,2.603,42.119,41.386,2.788,44.174,44.900,2.904,47.804, 48.750 , 3.153 ,51.903,47.665,3.090,50.755,49.120,3.389,52.509,56.764,4.063,60.827,63.355,4.667,68.022,64.959,4.511,69.470,57.534,3.599,61.133,59.390,3.609,62.999,65.530,4.159,69.689,70.991,4.738,75.729,77.340,5.543,82.883,90.930,7.297,98.227,104.534,8.570,113.104,110.203,9.147,119.350,108.845,8.192,117.037,112.959,8.430,121.389,112.853,8.061,120.914,,,
