Año,Grupos de edad,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 Y MÁS
1985,Total,4120333,3770864,3421604,3396351,3131416,2617368,2103699,1681821,1332502,1184172,1019126,880746,773821,577841,384048,230758,175751
1985,Hombres,2056239,1880344,1701922,1685930,1553932,1288694,1035979,825836,653462,574347,494289,431735,378953,276180,178045,102824,73293
1985,Mujeres,2064094,1890520,1719682,1710421,1577484,1328674,1067720,855985,679040,609825,524837,449011,394868,301661,206003,127934,102458
1986,Total,4180628,3833951,3455592,3394485,3192917,2710900,2187556,1752290,1377807,1202882,1042834,893319,786877,599692,398961,245541,183765
1986,Hombres,2092330,1911470,1721004,1685777,1583713,1334377,1075670,859932,675496,583774,504466,436094,384939,287111,184921,110366,76255
1986,Mujeres,2088298,1922481,1734588,1708708,1609204,1376523,1111886,892358,702311,619108,538368,457225,401938,312581,214040,135175,107510
1987,Total,4249196,3891920,3512589,3379167,3244913,2804793,2273957,1822819,1434836,1218415,1068954,908665,795251,624324,415847,258372,192955
1987,Hombres,2136614,1939237,1750480,1678689,1607980,1380610,1115684,894002,702722,591985,516036,441705,388328,299456,192681,116633,79828
1987,Mujeres,2112582,1952683,1762109,1700478,1636933,1424183,1158273,928817,732114,626430,552918,466960,406923,324868,223166,141739,113127
1988,Total,4321266,3943941,3585938,3360754,3285541,2895800,2362818,1894424,1500458,1235317,1095754,926449,801193,649355,435326,269569,203207
1988,Hombres,2184342,1963867,1787493,1669971,1626247,1425597,1156491,928424,733889,601079,528212,448515,390267,312048,201843,121697,83994
1988,Mujeres,2136924,1980074,1798445,1690783,1659294,1470203,1206327,966000,766569,634238,567542,477934,410926,337307,233483,147872,119213
1989,Total,4393421,3994373,3662537,3353963,3312298,2979555,2453706,1969099,1569668,1259575,1120745,946207,807907,671537,457310,280504,214507
1989,Hombres,2231681,1988701,1825694,1667023,1637706,1466777,1198676,963947,766789,613720,539935,456494,392484,323102,212546,126377,88720
1989,Mujeres,2161740,2005672,1836843,1686940,1674592,1512778,1255030,1005152,802879,645855,580810,489713,415423,348435,244764,154127,125787
1990,Total,4460588,4047926,3731730,3368611,3324065,3052306,2545982,2047609,1638964,1294830,1142487,967812,817570,688756,481618,292362,226806
1990,Hombres,2273714,2017416,1859912,1674736,1642151,1501995,1242383,1000847,799943,631408,550599,465671,396038,331516,224578,131425,93994
1990,Mujeres,2186874,2030510,1871818,1693875,1681914,1550311,1303599,1046762,839021,663422,591888,502141,421532,357240,257040,160937,132812
1991,Total,4529276,4112850,3795229,3405793,3322486,3114977,2639949,2130075,1708778,1341377,1161603,991699,830223,701053,503436,301624,240142
1991,Hombres,2318423,2054503,1889976,1692935,1639579,1530757,1286928,1038557,832971,653872,560155,475956,400754,337142,235530,135682,99734
1991,Mujeres,2210853,2058347,1905253,1712858,1682907,1584220,1353021,1091518,875807,687505,601448,515743,429469,363911,267906,165942,140408
1992,Total,4583312,4181777,3850257,3464842,3305854,3165559,2733045,2214663,1777554,1398427,1177929,1017604,845296,709452,527791,313208,254370
1992,Hombres,2351623,2097356,1915535,1722589,1630214,1553027,1331847,1076839,865581,681064,568884,487472,406580,340787,247700,141051,105968
1992,Mujeres,2231689,2084421,1934722,1742253,1675640,1612532,1401198,1137824,911973,717363,609045,530132,438716,368665,280091,172157,148402
1993,Total,4623245,4253581,3901609,3538092,3285684,3203167,2822087,2301619,1846992,1462859,1196155,1044180,862665,716625,550586,328748,269214
1993,Hombres,2373323,2144689,1939549,1759732,1619804,1568657,1375195,1116221,898458,711546,578845,499638,413486,343762,259008,148386,112489
1993,Mujeres,2249922,2108892,1962060,1778360,1665880,1634510,1446892,1185398,948534,751313,617310,544542,449179,372863,291578,180362,156725
1994,Total,4642711,4319358,3951774,3608501,3273198,3223156,2900408,2388774,1917899,1529465,1220307,1068560,881707,724531,569349,349238,284969
1994,Hombres,2380772,2190092,1964996,1795521,1613807,1575920,1413200,1156231,931728,743092,591573,511207,421336,346938,268214,158157,119451
1994,Mujeres,2261939,2129266,1986778,1812980,1659391,1647236,1487208,1232543,986171,786373,628734,557353,460371,377593,301135,191081,165518
1995,Total,4646005,4376468,4006957,3668866,3279301,3225855,2965697,2475841,1992070,1595365,1254507,1089681,902387,734842,583304,373617,301421
1995,Hombres,2377462,2229824,1996587,1825776,1617555,1575453,1444266,1197097,966190,774355,608784,521695,430219,351130,274994,169860,126771
1995,Mujeres,2268543,2146644,2010370,1843090,1661746,1650402,1521431,1278744,1025880,821010,645723,567986,472168,383712,308310,203757,174650
1996,Total,4652699,4426743,4062240,3717659,3302271,3211957,3017425,2562159,2069459,1660845,1298530,1108193,925195,747557,590632,395985,318501
1996,Hombres,2378369,2262315,2031503,1848968,1629960,1567834,1468056,1238188,1001694,805386,630215,531309,440242,356132,278313,180378,134341
1996,Mujeres,2274330,2164428,2030737,1868691,1672311,1644123,1549369,1323971,1067765,855459,668315,576884,484953,391425,312319,215607,184160
1997,Total,4640532,4470375,4120289,3758009,3344873,3182546,3056542,2646796,2149098,1725585,1352467,1124072,950113,762505,598550,417068,336271
1997,Hombres,2369955,2288460,2070774,1867068,1652409,1553234,1485180,1279234,1037777,836100,655934,539949,451452,362017,281893,190274,142200
1997,Mujeres,2270577,2181915,2049515,1890941,1692464,1629312,1571362,1367562,1111321,889485,696533,584123,498661,400488,316657,226794,194071
1998,Total,4612801,4507135,4180579,3795511,3400083,3148605,3082352,2726851,2230741,1791188,1413699,1141352,975789,779471,607875,435704,354720
1998,Hombres,2354609,2308434,2112833,1884286,1681020,1536845,1495587,1318437,1074677,867113,684863,549416,463261,368828,285972,199075,150299
1998,Mujeres,2258192,2198701,2067746,1911225,1719063,1611760,1586765,1408414,1156064,924075,728836,591936,512528,410643,321903,236629,204421
1999,Total,4574286,4536448,4241767,3838680,3457983,3126112,3093333,2798897,2314258,1860203,1478367,1165732,1000322,798708,619691,452007,374004
1999,Hombres,2334586,2322897,2154630,1906770,1710251,1526324,1498932,1353380,1112815,899335,715269,562106,474831,376843,290938,206921,158752
1999,Mujeres,2239700,2213551,2087137,1931910,1747732,1599788,1594401,1445517,1201443,960868,763098,603626,525491,421865,328753,245086,215252
2000,Total,4531903,4559289,4303199,3892549,3512809,3126789,3090498,2861042,2400033,1934462,1543977,1201176,1022583,820630,633911,466457,394256
2000,Hombres,2313137,2333458,2193723,1937921,1736923,1527438,1496025,1382718,1152792,933534,746169,579687,485651,386315,296754,213927,167602
2000,Mujeres,2218766,2225831,2109476,1954628,1775886,1599351,1594473,1478324,1247241,1000928,797808,621489,536932,434315,337157,252530,226654
2001,Total,4483100,4564326,4350315,3946975,3559376,3145858,3074689,2911279,2485106,2010813,1608362,1244652,1041814,843642,647977,480681,414576
2001,Hombres,2287005,2335845,2224040,1972491,1759267,1537896,1487666,1405954,1193246,968385,776515,600701,495428,396378,302320,220291,176451
