MES,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población
Enero,16227,15799,32026,12193.566,14199.434,26393,14790,12540,27330,16086.95,13162.05,29249,14768.5,14768.5,29537,16845,17479,34324,18536,21206,39742,19522,22736,42258,20406,24826,45232,17482,28050,45532,20361,31643,52004,21204,28270,49474,22625,31609,54234,27354,35354,62708,29794,38845,68639,25026,41527,66553,19429,40942,60371,21601,42652,64253,24767,46134,70901,24824,51937,76761,27110,58966,86076,28414,73882,102296,35519,79353,114872,37755,82868,120623,41133,75627,116760
Febrero,15662,15843,31505,12763.68,13827.32,26591,15205,12412,27617,16038.55,13122.45,29161,15114,15114,30228,17321,18172,35493,18554,22036,40590,19909,23123,43032,20474,25289,45763,18724,28206,46930,20797,31718,52515,19608,29562,49170,23642,32062,55704,27146,36377,63523,30542,38439,68981,24716,41024,65740,19306,41046,60352,21912,43060,64972,25139,46770,71909,24810,52884,77694,27658,60049,87707,29602,75089,104691,35680,80101,115781,37961,81854,119815,42412,75647,118059
Marzo,14965,15554,30519,13418.609,13472.391,26891,15621,12283,27904,16554.72,13007.28,29562,15341.31,14739.69,30081,17931,18563,36494,18829,21788,40617,19098,23218,42316,19837,25760,45597,20128,28308,48436,21734,31427,53161,20381,29271,49652,24061,32042,56103,27769,36693,64462,29929,39760,69689,24250,40390,64640,18779,41291,60070,22546,43226,65772,25220,47092,72312,24865,53936,78801,27752,61689,89441,30069,76042,106111,35863,80507,116370,39730,79238,118968,43406,75252,118658
Abril,14839,15405,30244,15925.28,11066.72,26992,15689,12599,28288,16493.085,12801.915,29295,15647.82,15034.18,30682,17766,19867,37633,19227,21749,40976,18847,22928,41775,19312,26049,45361,20633,28213,48846,21724,31580,53304,21044,28640,49684,24952,32178,57130,27944,37186,65130,29516,40512,70028,23445,40211,63656,19267,41101,60368,23132,43213,66345,25736,47249,72985,25102,54628,79730,27724,62840,90564,30837,76483,107320,36061,80954,117015,39755,78220,117975,44322,75056,119378
Mayo,14522,15245,29767,17006.22,9987.78,26994,15326,12459,27785,14686,14686,29372,15685,15685,31370,18687,19497,38184,19632,21474,41106,19121,22494,41615,19337,26605,45942,21114,28319,49433,22225,31809,54034,21199,29972,51171,25394,33037,58431,29072,37457,66529,29451,41231,70682,23200,40721,63921,18938,41201,60139,23411,43515,66926,26165,47609,73774,26291,54199,80490,25719,66536,92255,31678,77107,108785,36197,81331,117528,40063,77248,117311,44172,76028,120200
Junio,14207,15221,29428,17269.181,9671.819,26941,15326,12457,27783,15938.594,13468.406,29407,15750.5,15750.5,31501,18115,20325,38440,19522,21985,41507,20075,22764,42839,20039,26727,46766,20891,28776,49667,22117,32434,54551,21039,30103,51142,25515,33496,59011,29272,37620,66892,29083,41552,70635,22111,41002,63113,19109,41066,60175,23812,43797,67609,26160,48434,74594,25967,54813,80780,25846,67541,93387,32140,77569,109709,36200,81663,117863,40660,76571,117231,45651,75254,120905
Julio,14310,15029,29339,16541.37,10575.63,27117,16498,12130,28628,15847.92,13500.08,29348,15337.647,16549.353,31887,18188,20787,38975,19287,21987,41274,20050,23352,43402,20008,27158,47166,20951,29459,50410,21648,32517,54165,20348,30726,51074,25636,33341,58977,29464,37770,67234,28254,41943,70197,21333,40883,62216,20125,40834,60959,23600,44719,68319,25678,49040,74718,26154,55332,81486,26870,68500,95370,32707,78298,111005,36032,82169,118201,40691,76439,117130,44011,76829,120840
Agosto,13516,15353,28869,16847.88,10326.12,27174,15494,12412,27906,15577.23,13813.77,29391,15530.138,16891.862,32422,17863,21378,39241,19600,22138,41738,21134,22931,44065,19971,27158,47129,20982,30400,51382,21108,30538,51646,20581,31133,51714,25607,33931,59538,29547,38136,67683,27706,41981,69687,20875,40771,61646,21178,40724,61902,23773,45221,68994,25156,50119,75275,25429,56485,81914,27099,69915,97014,33090,78889,111979,35941,82537,118478,41350,75523,116873,44232,77025,121257
Septiembre,13497,15525,29022,16862.76,10335.24,27198,17632,11707,29339,15802.02,13460.98,29263,15055.04,19160.96,34216,17276,22143,39419,19524,22595,42119,20616,23558,44174,20451,27353,47804,21192,30711,51903,21433,29322,50755,21841,30668,52509,26011,34816,60827,29172,38850,68022,27569,41901,69470,20064,41069,61133,21303,41696,62999,24078,45611,69689,25251,50478,75729,26480,56403,82883,27677,70550,98227,33951,79153,113104,36311,83039,119350,41425,75612,117037,0,0,0
Octubre,13136,14770,27906,16918.56,10369.44,27288,15731,12334,28065,16017.1,13104.9,29122,15566.85,19026.15,34593,17616,21690,39306,19515,22939,42454,20979,23472,44451,20479,27135,47614,21259,30990,52249,21497,29131,50628,22448,30737,53185,26573,35378,61951,29634,38911,68545,28035,40855,68890,19976,41155,61131,21552,42096,63648,23793,46640,70433,25619,50852,76471,25775,57892,83667,27854,72125,99979,34631,79653,114284,36515,83523,120038,40423,76026,116449,0,0,0
