AÑO,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
MES,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población,Sindicados,Condenados,Población
Enero,16.227,15.799,32.026,12.194,14.199,26.393,14.790,12.540,27.330,16.087,13.162,29.249,14.769,14.769,29.537,16.845,17.479,34.324,18.536,21.206,39.742,19.522,22.736,42.258,20.406,24.826,45.232, 17.482 ,28.050,45.532,20.361,31.643,52.004,21.204,28.270,49.474,22.625,31.609,54.234,27.354,35.354,62.708,29.794,38.845,68.639,25.026,41.527,66.553,19.429,40.942,60.371,21.601,42.652,64.253,24.767,46.134,70.901,24.824,51.937,76.761,27.110,58.966,86.076,28.414,73.882,102.296,35.519,79.353,114.872,37.755,82.868,120.623,41.133,75.627,116.760,43.343,77.393,120.736,38.356,80.569,118.925
Febrero,15.662,15.843,31.505,12.764,13.827,26.591,15.205,12.412,27.617,16.039,13.122,29.161,15.114,15.114,30.228,17.321,18.172,35.493,18.554,22.036,40.590,19.909,23.123,43.032,20.474,25.289,45.763, 18.724 ,28.206,46.930,20.797,31.718,52.515,19.608,29.562,49.170,23.642,32.062,55.704,27.146,36.377,63.523,30.542,38.439,68.981,24.716,41.024,65.740,19.306,41.046,60.352,21.912,43.060,64.972,25.139,46.770,71.909,24.810,52.884,77.694,27.658,60.049,87.707,29.602,75.089,104.691,35.680,80.101,115.781,37.961,81.854,119.815,42.412,75.647,118.059,42.895,78.461,121.356,,,
Marzo,14.965,15.554,30.519,13.419,13.472,26.891,15.621,12.283,27.904,16.555,13.007,29.562,15.341,14.740,30.081,17.931,18.563,36.494,18.829,21.788,40.617,19.098,23.218,42.316,19.837,25.760,45.597, 20.128 ,28.308,48.436,21.734,31.427,53.161,20.381,29.271,49.652,24.061,32.042,56.103,27.769,36.693,64.462,29.929,39.760,69.689,24.250,40.390,64.640,18.779,41.291,60.070,22.546,43.226,65.772,25.220,47.092,72.312,24.865,53.936,78.801,27.752,61.689,89.441,30.069,76.042,106.111,35.863,80.507,116.370,39.730,79.238,118.968,43.406,75.252,118.658,43.950,78.070,122.020,,,
Abril,14.839,15.405,30.244,15.925,11.067,26.992,15.689,12.599,28.288,16.493,12.802,29.295,15.648,15.034,30.682,17.766,19.867,37.633,19.227,21.749,40.976,18.847,22.928,41.775,19.312,26.049,45.361, 20.633 ,28.213,48.846,21.724,31.580,53.304,21.044,28.640,49.684,24.952,32.178,57.130,27.944,37.186,65.130,29.516,40.512,70.028,23.445,40.211,63.656,19.267,41.101,60.368,23.132,43.213,66.345,25.736,47.249,72.985,25.102,54.628,79.730,27.724,62.840,90.564,30.837,76.483,107.320,36.061,80.954,117.015,39.755,78.220,117.975,44.322,75.056,119.378,43.944,78.072,122.016,,,
Mayo,14.522,15.245,29.767,17.006,9.988,26.994,15.326,12.459,27.785,14.686,14.686,29.372,15.685,15.685,31.370,18.687,19.497,38.184,19.632,21.474,41.106,19.121,22.494,41.615,19.337,26.605,45.942, 21.114 ,28.319,49.433,22.225,31.809,54.034,21.199,29.972,51.171,25.394,33.037,58.431,29.072,37.457,66.529,29.451,41.231,70.682,23.200,40.721,63.921,18.938,41.201,60.139,23.411,43.515,66.926,26.165,47.609,73.774,26.291,54.199,80.490,25.719,66.536,92.255,31.678,77.107,108.785,36.197,81.331,117.528,40.063,77.248,117.311,44.172,76.028,120.200,43.235,78.710,121.945,,,
Junio,14.207,15.221,29.428,17.269,9.672,26.941,15.326,12.457,27.783,15.939,13.468,29.407,15.751,15.751,31.501,18.115,20.325,38.440,19.522,21.985,41.507,20.075,22.764,42.839,20.039,26.727,46.766, 20.891 ,28.776,49.667,22.117,32.434,54.551,21.039,30.103,51.142,25.515,33.496,59.011,29.272,37.620,66.892,29.083,41.552,70.635,22.111,41.002,63.113,19.109,41.066,60.175,23.812,43.797,67.609,26.160,48.434,74.594,25.967,54.813,80.780,25.846,67.541,93.387,32.140,77.569,109.709,36.200,81.663,117.863,40.660,76.571,117.231,45.651,75.254,120.905,42.013,79.217,121.230,,,
Julio,14.310,15.029,29.339,16.541,10.576,27.117,16.498,12.130,28.628,15.848,13.500,29.348,15.338,16.549,31.887,18.188,20.787,38.975,19.287,21.987,41.274,20.050,23.352,43.402,20.008,27.158,47.166, 20.951 ,29.459,50.410,21.648,32.517,54.165,20.348,30.726,51.074,25.636,33.341,58.977,29.464,37.770,67.234,28.254,41.943,70.197,21.333,40.883,62.216,20.125,40.834,60.959,23.600,44.719,68.319,25.678,49.040,74.718,26.154,55.332,81.486,26.870,68.500,95.370,32.707,78.298,111.005,36.032,82.169,118.201,40.691,76.439,117.130,44.011,76.829,120.840,41.956,78.701,120.657,,,
Agosto,13.516,15.353,28.869,16.848,10.326,27.174,15.494,12.412,27.906,15.577,13.814,29.391,15.530,16.892,32.422,17.863,21.378,39.241,19.600,22.138,41.738,21.134,22.931,44.065,19.971,27.158,47.129, 20.982 ,30.400,51.382,21.108,30.538,51.646,20.581,31.133,51.714,25.607,33.931,59.538,29.547,38.136,67.683,27.706,41.981,69.687,20.875,40.771,61.646,21.178,40.724,61.902,23.773,45.221,68.994,25.156,50.119,75.275,25.429,56.485,81.914,27.099,69.915,97.014,33.090,78.889,111.979,35.941,82.537,118.478,41.350,75.523,116.873,44.232,77.025,121.257,39.373,81.348,120.721,,,
Septiembre,13.497,15.525,29.022,16.863,10.335,27.198,17.632,11.707,29.339,15.802,13.461,29.263,15.055,19.161,34.216,17.276,22.143,39.419,19.524,22.595,42.119,20.616,23.558,44.174,20.451,27.353,47.804, 21.192 ,30.711,51.903,21.433,29.322,50.755,21.841,30.668,52.509,26.011,34.816,60.827,29.172,38.850,68.022,27.569,41.901,69.470,20.064,41.069,61.133,21.303,41.696,62.999,24.078,45.611,69.689,25.251,50.478,75.729,26.480,56.403,82.883,27.677,70.550,98.227,33.951,79.153,113.104,36.311,83.039,119.350,41.425,75.612,117.037,43.209,78.180,121.389,39.166,81.748,120.914,,,
