"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",-0.00193064465056003
"8",6.49810259299627e-05
"9",0.00278046187520712
"10",0.00475630882113702
"11",0.00540735612948051
"12",0.00528173050343443
"13",0.00681350886942663
"14",0.00485361366336301
"15",0.00289949967966977
"16",0.00301128492501079
"17",0.00274788170491173
"18",0.00259742406411023
"19",0.00148358607826323
"20",0.000393261104033963
"21",-0.000162160218253254
"22",-0.0024457857045593
"23",-0.00269323287639452
"24",-0.00133990245154044
"25",-0.00493992264861768
"26",-0.00947322280568138
"27",-0.0119824318916671
"28",-0.0101669525064405
"29",-0.00311611105365402
"30",0.00336366963416568
"31",0.00642004333112352
"32",0.00539808491433128
"33",0.00365384390814416
"34",0.00397657876554887
"35",0.00354065320598444
"36",0.00304051396607326
"37",0.00411197577989368
"38",0.00895313378284168
"39",0.0127507367736224
"40",0.0107271728470582
"41",0.00757369150919122
"42",0.00534549493717229
"43",0.00428363992508215
"44",0.00451289805008911
"45",0.00373978303634289
"46",0.00161307840569521
"47",0.000720634442473131
"48",0.000935045574179228
"49",0.00260377311518578
"50",0.00370435372844831
"51",0.00325481361871679
"52",-0.000762606773922667
"53",-0.00513107748526627
"54",-0.00400320486001907
"55",-0.0032944136229122
"56",-0.00405135233373148
"57",-0.00466246374298396
"58",-0.00363392666337551
"59",-0.000267777018075825
"60",0.00258938666105772
"61",0.00439932621663012
"62",0.00437893307174549
"63",0.00448601432622109
"64",0.0104980329817835
"65",0.0147115134683634
"66",0.0140136530656372
"67",0.0146207254304345
"68",0.0155603154661057
"69",0.0176626517906047
"70",0.0187296840916432
"71",0.0163845008173522
"72",0.0143093636430217
"73",0.0140355459525428
"74",0.0145853644287966
"75",0.0154873776515626
"76",0.0136671748092065
"77",0.0117305388621876
"78",0.0106906894309976
"79",0.0103546297585518
"80",0.0113594791336327
"81",0.0115223532792398
"82",0.0117620012395068
"83",0.0107419284956921
"84",0.00932152115590131
"85",0.00894257991611336
"86",0.00804592171778847
"87",0.0072062979929434
"88",0.00847155583971911
"89",0.00803252912838048
"90",0.00540156671322937
"91",0.00282009730901126
"92",0.000269780709936181
"93",-0.00201715647247935
"94",-0.00442780659472001
"95",-0.00503544215306177
"96",-0.00466608388601678
"97",-0.00539375964961268
"98",-0.00776429490165572
"99",-0.0119480505739366
"100",-0.0160851552019497
"101",-0.0175859696234244
"102",-0.0183619387201875
"103",-0.0195354509733667
"104",-0.0213605906452878
"105",-0.0231274358208607
"106",-0.0235031915174479
"107",-0.0250358964215312
"108",-0.0273619568840061
"109",-0.0286365419500946
"110",-0.0264126323079202
"111",-0.0224457014319944
"112",-0.0208409736647583
"113",-0.0209463446637389
"114",-0.0188308690750145
"115",-0.0166352190730784
"116",-0.0145373994625724
"117",-0.00850867251065194
"118",-0.00182840458306336
"119",0.00309714082037082
"120",0.00566074208783718
"121",0.0084281611888426
"122",0.0109507327244821
"123",0.0101021499249867
"124",0.00969130492450635
"125",0.0128932060804427
"126",0.0152350664497341
"127",0.0164524443422593
"128",0.0180027391186993
"129",0.0158047548232853
"130",0.0114529776931171
"131",0.00991825952302665
"132",0.00922389386441884
"133",0.00784730494942987
"134",0.00710121516968136
"135",0.00907454822449087
"136",0.0114232710484681
"137",0.010394402378217
"138",0.00911472973146614
"139",0.00907877050361431
"140",0.00855243807266019
"141",0.00743457305979926
"142",0.00587224316260208
"143",0.00433804800624316
"144",0.0050629184298332
"145",0.00594466132816344
"146",0.0037446516023892
"147",0.000976725655981023
"148",-0.000453117591208215
"149",-0.00113957357457968
"150",-0.00162997516952264
"151",-0.000839134592821738
"152",-0.000108374584232221
"153",0.000456771784295596
"154",0.00121505694422878
"155",0.00242990793822218
"156",0.00223311409890448
"157",0.000732806464285456
"158",0.00270381841099976
"159",0.00589444955367028
"160",0.00819833148763549
"161",0.00910478903497928
"162",0.00871656905492624
"163",0.00322309512030376
"164",-0.00111113783016122
"165",0.000930734547892239
"166",0.00377561883131568
"167",0.00449244100468997
"168",0.00507431520966454
"169",0.00599331129971089
"170",0.00495943394083601
"171",0.00415574225225801
"172",0.00478775947966015
"173",0.00617140585899671
"174",0.00777515144527278
"175",0.0131170507882774
"176",0.0177640802284111
"177",0.0172718420771388
"178",0.0165130414476112
"179",0.0168354525156974
"180",0.0175870507225853
"181",0.0186093643052177
"182",0.0193436765370808
"183",0.0191075803646813
"184",0.017080590175893
"185",0.0151233234890159
"186",0.0138628359954104
"187",0.0120771037533103
"188",0.0105129819729803
"189",0.00899066953196755
"190",0.00747774555962636
"191",0.00624375000848679
"192",0.00500734655815297
"193",0.00411123867139085
"194",0.00479179078319514
"195",0.00543155432259764
"196",0.00512579841180457
"197",0.00684872731993854
"198",0.00833017153668214
"199",0.00829169345987934
"200",0.00906927758338768
"201",0.00990771644274065
"202",0.0109080509003046
"203",0.011331564749717
"204",0.00972665135313392
"205",0.00663274414188586
"206",0.00355513633568635
"207",0.00472941705293602
"208",0.00819020108068972
"209",0.00830679728006671
"210",0.00821819412472894
"211",0.00859930989599437
"212",0.00889244139535602
"213",0.00809222372103458
"214",0.00607536468603638
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",NA
