"tasa_encar","Menor_14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","Mayor_60"
29767,12437355,3405793,3322486,3114977,2639949,2130075,1708778,1341377,1161603,991699,830223,701053,1045202
26994,12615346,3464842,3305854,3165559,2733045,2214663,1777554,1398427,1177929,1017604,845296,709452,1095369
27785,12778435,3538092,3285684,3203167,2822087,2301619,1846992,1462859,1196155,1044180,862665,716625,1148548
29372,12913843,3608501,3273198,3223156,2900408,2388774,1917899,1529465,1220307,1068560,881707,724531,1203556
31370,13029430,3668866,3279301,3225855,2965697,2475841,1992070,1595365,1254507,1089681,902387,734842,1258342
38184,13141682,3717659,3302271,3211957,3017425,2562159,2069459,1660845,1298530,1108193,925195,747557,1305118
41106,13231196,3758009,3344873,3182546,3056542,2646796,2149098,1725585,1352467,1124072,950113,762505,1351889
41615,13300515,3795511,3400083,3148605,3082352,2726851,2230741,1791188,1413699,1141352,975789,779471,1398299
45942,13352501,3838680,3457983,3126112,3093333,2798897,2314258,1860203,1478367,1165732,1000322,798708,1445702
49433,13394391,3892549,3512809,3126789,3090498,2861042,2400033,1934462,1543977,1201176,1022583,820630,1494624
54034,13397741,3946975,3559376,3145858,3074689,2911279,2485106,2010813,1608362,1244652,1041814,843642,1543234
51171,13386433,4004494,3601872,3187462,3046636,2950661,2570616,2090334,1672790,1298125,1059073,869068,1591260
58431,13364635,4063817,3643114,3244912,3016907,2978293,2653807,2173116,1738472,1358886,1077864,895346,1639790
66529,13334790,4120564,3684783,3305888,2999680,2993406,2730043,2258938,1807496,1422656,1102732,920155,1687358
70682,13300888,4178217,3730891,3364011,2995744,2997245,2798869,2343663,1878104,1485507,1132873,943764,1738816
63921,13259795,4232054,3790021,3417361,3029977,2984592,2847362,2433168,1957033,1550708,1179212,957941,1766732
60139,13203459,4285932,3854851,3465252,3077931,2960959,2888093,2519309,2036775,1614072,1231608,972939,1815749
66926,13139399,4332778,3920781,3510362,3140418,2935155,2916573,2601526,2119205,1677944,1290610,990534,1875862
73774,13073768,4369302,3985878,3559279,3205812,2920610,2931612,2675393,2203224,1744592,1351725,1015164,1942473
80490,13012592,4392416,4048318,3615319,3266313,2927032,2933196,2737901,2288314,1815503,1412231,1048429,2012020
92255,12963772,4403814,4110318,3678614,3323648,2956138,2923885,2790367,2374840,1890811,1473107,1089641,2065646
108785,12922990,4401418,4169560,3746936,3375368,3007266,2903042,2832007,2460771,1969508,1533411,1139440,2120106
117528,12892289,4387955,4222511,3818440,3425261,3073074,2880514,2862194,2542977,2051081,1594650,1194296,2175847
117311,12872589,4367653,4264257,3889676,3478846,3141854,2869549,2879512,2617116,2134484,1659236,1250825,2236190
120200,12863023,4345112,4292291,3957939,3539724,3205979,2879410,2883795,2680490,2218791,1728396,1307382,2301073
121945,12864198,4321654,4306036,4022291,3605504,3264933,2909621,2875587,2732428,2302979,1800884,1363781,2377812
